FG.,percent_3pt,percent_FT,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,StrengthOfSchedule,DRtg,NRtg,Pace,FTr,team_abbreviation_home,team_abbreviation_away,game_date,game_yearEnd,wl_home
0.478,0.347,0.768,32.4,10.6,43.9,23.1,7.6,6.1,15.5,23.4,111.6,-0.18,110.0,-10.1,91.2,0.295,NYK,ORL,2014-11-12 0:00,2015,0
0.435,0.339,0.741,34.5,12.2,45.8,23.3,9.2,4.7,14.4,20.5,103.4,0.38,102.2,3.5,92.0,0.239,MEM,SAC,2014-11-13 0:00,2015,1
0.443,0.352,0.754,33.1,11.5,44.0,23.4,8.4,3.7,15.2,20.9,104.7,0.46,106.4,3.1,95.2,0.276,DAL,PHI,2014-11-13 0:00,2015,1
0.444,0.352,0.715,32.9,12.0,44.4,22.1,8.0,5.1,15.1,22.3,107.0,-0.62,107.7,3.3,92.8,0.233,TOR,CHI,2014-11-13 0:00,2015,0
0.452,0.398,0.76,34.8,11.2,45.4,27.8,9.4,4.8,16.0,20.2,105.3,-0.09,101.4,10.2,98.3,0.312,GSW,BKN,2014-11-13 0:00,2015,1
0.457,0.344,0.751,33.9,12.5,46.1,22.0,7.4,5.7,15.8,22.3,108.2,0.67,110.6,-7.2,94.0,0.251,LAL,SAS,2014-11-14 0:00,2015,0
0.447,0.327,0.754,33.8,13.3,45.3,25.3,8.5,4.9,14.9,21.9,107.8,-0.56,104.5,0.2,95.8,0.263,BOS,CLE,2014-11-14 0:00,2015,0
0.466,0.348,0.778,32.9,9.3,45.0,22.8,9.8,5.1,16.9,22.6,108.9,0.38,103.4,3.6,96.5,0.284,HOU,PHI,2014-11-14 0:00,2015,1
0.428,0.341,0.769,33.1,11.5,44.4,20.8,8.8,4.1,15.8,21.9,99.9,0.52,106.2,-0.9,96.3,0.259,PHX,CHA,2014-11-14 0:00,2015,0
0.453,0.37,0.729,34.8,10.6,47.3,24.0,7.3,4.9,13.5,20.3,101.6,0.34,107.3,0.9,91.4,0.234,NOP,MIN,2014-11-14 0:00,2015,1
0.439,0.339,0.756,36.0,11.1,49.3,21.3,7.6,4.1,14.7,23.1,103.5,0.28,105.5,2.3,95.7,0.23,OKC,DET,2014-11-14 0:00,2015,0
0.455,0.38,0.762,33.8,11.3,43.1,27.3,9.6,4.9,14.9,18.9,105.3,-0.68,103.1,5.8,93.9,0.266,ATL,MIA,2014-11-14 0:00,2015,1
0.462,0.347,0.742,32.4,11.1,43.9,23.1,7.6,4.7,14.3,23.4,103.7,-0.18,110.0,-10.1,91.2,0.259,NYK,UTA,2014-11-14 0:00,2015,0
0.463,0.347,0.752,33.7,10.9,44.4,21.9,8.4,6.1,13.8,22.2,109.5,-0.15,107.7,-6.1,93.8,0.262,ORL,MIL,2014-11-14 0:00,2015,1
0.478,0.352,0.768,36.6,10.6,47.7,22.8,6.6,6.2,14.3,22.6,111.6,-0.51,103.2,0.3,93.2,0.239,IND,DEN,2014-11-14 0:00,2015,0
0.442,0.341,0.783,34.6,12.5,45.9,21.1,7.0,4.8,15.4,21.5,107.5,0.64,109.2,-3.9,95.4,0.304,SAC,SAS,2014-11-15 0:00,2015,1
0.45,0.36,0.801,36.0,11.3,47.0,25.3,7.7,4.6,13.0,21.9,108.2,-0.55,103.0,0.7,93.7,0.225,WAS,ORL,2014-11-15 0:00,2015,1
0.455,0.352,0.787,33.1,11.5,44.0,23.4,8.4,4.5,16.0,20.9,111.0,0.46,106.4,3.1,95.2,0.295,DAL,MIN,2014-11-15 0:00,2015,1
0.458,0.398,0.773,34.8,11.2,45.4,27.8,9.4,4.5,16.2,20.2,105.7,-0.09,101.4,10.2,98.3,0.276,GSW,CHA,2014-11-15 0:00,2015,1
0.458,0.353,0.751,36.3,12.0,48.8,23.2,6.7,5.3,13.9,19.5,111.1,-0.46,104.3,3.2,92.8,0.287,CHI,IND,2014-11-15 0:00,2015,0
